order_id,bike_id,identity,source,origin_lon,origin_lat,destination_lon,destination_lat,origin_time,destination_time,distance_m,riding_time_s,is_workday,origin_id,destination_id,semantics_origin,semantics_dest,semantics_id_origin,semantics_id_dest,category_origin,category_dest,category_id_origin,category_id_dest,origin_hour,destination_hour,flow_num,x_origin,y_origin,x_dest,y_dest,flow_length,cluster_id
2411011402984,2408282050657,37ace840-77dc-4be8-8662-8d0ed7419e13,mangguo,114.35389702027032,30.535811974220643,114.35588871938307,30.538358451265545,2024-11-01 06:02:13,2024-11-01 06:05:19,340.9207453208227,186.0,工作日,562.0,618.0,珞珈广场,文理学部教5楼,387.0,135.0,文娱场地,教学区域,8.0,6.0,6,6,1,246127.658530773,3381139.925336741,246325.4372048913,3381417.7783262837,341.0552561299056,-1
2411011402001,2408282048542,ce57010e-0f29-48c4-9e5d-63ede6aea343,mangguo,114.35977886536796,30.54495075628875,114.35894391571551,30.53518581852329,2024-11-01 06:02:26,2024-11-01 06:11:36,1085.517460303107,550.0,工作日,1124.0,381.0,工学部1舍,中国银行武汉武大支行,99.0,25.0,学生宿舍,其他,4.0,2.0,6,6,1,246715.91225236343,3382139.9430922116,246610.40781312843,3381059.137587945,1085.9427815273477,-1
2411011402023,2409092233184,034547f6-d8f3-4c1a-a0f6-c6569df50580,mangguo,114.35401603543356,30.537834992496894,114.35777756090442,30.539319469850625,2024-11-01 06:02:53,2024-11-01 06:23:29,396.7061521735664,1236.0,工作日,583.0,604.0,国学历史和哲学学院,万林艺术博物馆,73.0,12.0,教学区域,文娱场地,6.0,5.0,6,6,1,246144.34789625736,3381363.9588228487,246509.21276978822,3381520.0786686763,396.8624222547678,-1
2411011403043,2408241144894,eb7ab73d-828b-4fdc-b518-02b8779f65cb,mangguo,114.36534780746408,30.535045579333687,114.3712689438468,30.537080600120472,2024-11-01 06:03:35,2024-11-01 06:14:03,611.3622339142019,628.0,工作日,472.0,105.0,武汉大学北三区20栋,武汉大学九区17栋,266.0,198.0,教工宿舍,教工宿舍,7.0,7.0,6,6,1,247224.66108875902,3381029.2018674654,247798.20800231196,3381241.5617265743,611.5985381006632,-1
2411011404059,2408282043104,c537bfc5-9211-414b-b281-c926f39d5941,mangguo,114.35475013219948,30.541705088643614,114.35588871938307,30.538358451265545,2024-11-01 06:04:00,2024-11-01 06:06:54,386.7666544202986,174.0,工作日,960.0,618.0,文理学部教三楼,文理学部教5楼,136.0,135.0,教学区域,教学区域,6.0,6.0,6,6,1,246224.87525256167,3381791.400743129,246325.4372048913,3381417.7783262837,386.9191344788136,-1
259806881998967448,100606433,154f15e0-bbd6-47dc-94b5-3c69bddfbf91,zhiyin,114.3537527766334,30.541740205545185,114.36157164234145,30.545229780224044,2024-11-01 06:06:47,2024-11-01 06:14:13,1342.0,446.0,工作日,958.0,1118.0,桂园6舍,工学部球场,163.0,118.0,学生宿舍,运动场地,4.0,1.0,6,6,1,246129.25110586255,3381797.5419606064,246888.68230058588,3382166.849134621,844.4664163231911,-1
259807028028907878,100605941,0e548121-9412-4601-973b-e201f9e86581,zhiyin,114.35210796015264,30.52902794717258,114.3550586984807,30.54725635337897,2024-11-01 06:07:55,2024-11-01 06:22:46,2385.0,891.0,工作日,171.0,1257.0,南二门,工程结构试验中心,60.0,122.0,交通枢纽,教学区域,0.0,6.0,6,6,1,245938.28061206543,3380391.7809634497,246268.93826997225,3382406.2010820326,2041.3776967734245,-1
2411011409234,2409092232937,079ba7f9-4646-4184-8000-361ed41b045a,mangguo,114.3588967287197,30.543881631056244,114.3576516843956,30.545315238813192,2024-11-01 06:09:35,2024-11-01 06:11:28,198.8268494432723,113.0,工作日,1094.0,1020.0,未知,工学部A教学楼,-1.0,110.0,其他,教学区域,2.0,6.0,6,6,1,246628.47822717085,3382023.388462153,246512.72302779782,3382185.1409910205,198.90486866082753,-1
259807302906290547,100606232,f2a65f5c-f0fd-4c96-868e-d0c3830b4cd0,zhiyin,114.35182130020414,30.529353295315936,114.35992241746942,30.53304406661055,2024-11-01 06:10:04,2024-11-01 06:20:09,1412.0,605.0,工作日,165.0,346.0,南二门,东中区24栋,60.0,15.0,交通枢纽,教工宿舍,0.0,7.0,6,6,1,245911.6139708174,3380428.5002807984,246698.75706605508,3380819.471411815,878.8928704163578,-1
2411011410247,2409092233081,f598d967-d280-4de5-b64d-3f326f7b3998,mangguo,114.3659979248486,30.539753694892465,114.35652734464044,30.53718342284256,2024-11-01 06:10:07,2024-11-01 06:16:47,952.4308319762356,400.0,工作日,838.0,592.0,枫园二舍,珞珈广场,151.0,387.0,学生宿舍,文娱场地,4.0,8.0,6,6,1,247299.25843152252,3381549.752137408,246383.6714129484,3381286.059383594,952.8029476211468,-1
